(Не изменять) Опасность;(Не изменять) Контрольная сумма строки;(Не изменять) Дата изменения;name
1b2d090a-0626-e911-a97e-000d3a22ca8c;VeX2GfrapcCP7+IPOWNROa+HdY3B5Ul6h3yR37agIaMELc3GiYYw+/QyD7AJOkJk0RyJoMirJZ4YrdKMwND2YA==;01.02.2019 09:45;Обрыв стропов/канатов
1d2d090a-0626-e911-a97e-000d3a22ca8c;t8wDlZGhcNpfgo6zwN9Sg5pZO+JNlf3I/HfFn5t1Mgip8HTW7mzsvKDd9QievAzAnpxikM30hZFa5hlQEYa1AA==;01.02.2019 09:45;Объекты под индуцированным напряжением
1f2d090a-0626-e911-a97e-000d3a22ca8c;4o2Bdn3G8XOl8x+VWVa96T3jMcJopQn8e5VyF+aA7dFKwUcZKKEjhbbMCkle7DpeK9slunDUhVHWYWjbgnlJmw==;01.02.2019 09:45;Обычные взрывчатые вещества
212d090a-0626-e911-a97e-000d3a22ca8c;T8cehKGh45JTNjf8Og/7ftxzBsRX9Wnw8nLWo/94+Wa+OVYhTo9LXeCo+R1mPxObNHew89FKj67mamLFcbqWSQ==;01.02.2019 09:45;Огневые работы
232d090a-0626-e911-a97e-000d3a22ca8c;77SAwdVB2FFiy35bz4lJDnhnNl9+doZbquaguJ9FF1o1sYrE5PXZ/HLCz9QpfUqoY1HkIw+h9p/ARw288dqm4A==;01.02.2019 09:45;Одоранты (меркаптаны)
252d090a-0626-e911-a97e-000d3a22ca8c;adCqKKAOsU94El5h7wOVr9Ojip9X2DpSZG5scKC994+g+8shkUvwq8B770nH0FAntILHi1e2i8TseqoADaXQ+Q==;01.02.2019 09:45;Опасные грузы на транспорте
272d090a-0626-e911-a97e-000d3a22ca8c;Ie8YuZPhkHxfKWzcnBd8TgD1RsD2H2RC0/jiKNF3peDaK6KFNw8yMlcfadcmyEuvsqUEKSgBKCmeMNilxBBExA==;01.02.2019 09:45;Открытый огонь при прямом нагреве
292d090a-0626-e911-a97e-000d3a22ca8c;QovkK6YbStI+GMwdrZ30SgExpJryX4v90y6mx+GNViSY9HpD3wzk445BMG4oUtuqNqseGqN8rKAYUDPgaggGng==;01.02.2019 09:45;Отработанные машинные масла
2b2d090a-0626-e911-a97e-000d3a22ca8c;VRPhvkm2JsP3wsWm6+cr4foFpO/fgl2jVK0Fc2oMuxpEPeRDvfqK1n7IJlLECmuYdpurKYNnHD0BOEgQOGqa/w==;01.02.2019 09:45;Падение предметов с высоты
2d2d090a-0626-e911-a97e-000d3a22ca8c;9kBmgNZYCKXfxMGOMuCGZatF07tpokfRQX270Te65/YfHBC+N068l51UxFXxM7LfQz4gfo3MAiBSCEb6aVuRYg==;01.02.2019 09:45;Пар под давлением
2f2d090a-0626-e911-a97e-000d3a22ca8c;YFrLn85JlueJc13sPyfbtpFOn5ZrmNtdsQ+aG9RW/LpgEJ+6tyR2GjX/Vu5fu8j+lq/I2Ic3N8pPY+9BPBkKQA==;01.02.2019 09:45;Паразиты и насекомые-переносчики заболеваний
312d090a-0626-e911-a97e-000d3a22ca8c;GZcwjPVBBOJJZSJ1/HylfQhW+PDk5X4aj6nlNSTZ2/TFsNle+82rABg4JjxsTBtihp0FQThEqY1K3StuRYAWiw==;01.02.2019 09:45;Парафин
332d090a-0626-e911-a97e-000d3a22ca8c;DTF1zGmXAVGWteeIMeKh3Z7YSioXj5xkr0VTQeydGikKLViyPOJLSlJXzrlG5IXm6oKLHMnJ8BifgoC7c7hOJQ==;01.02.2019 09:45;Пищевые бактерии (например, E Coli)
352d090a-0626-e911-a97e-000d3a22ca8c;ESPdaGRX3775Zow9YxFxQ5K5AAh80GlfBHZhmg/x8CkmgW1TjM7mRssBsImEpj/on+LJYTcr8rnwvbf7ILweUg==;01.02.2019 09:45;Плохая организация и проектирование работ
372d090a-0626-e911-a97e-000d3a22ca8c;39GzmyCy1GCU/Si/aUlAYbwhFO1iXHnnxE0jtjyH02IeqhZ5frNIL9DEKLOmXqMtc0O5G75qK62P76iVE9GTnw==;01.02.2019 09:45;Повреждающий шум
392d090a-0626-e911-a97e-000d3a22ca8c;tSzyR3Jl2CbM31TIfl6f97rOF+xwQqMuPW4acU5Y7z2Jzs0loogTDmcqZSLxHWs6k3UjVlle9n37jhiCxZVNkg==;01.02.2019 09:45;Подвесное оборудование
3b2d090a-0626-e911-a97e-000d3a22ca8c;zfaoBOI7j4f2/fpeE8UrjYl7gFNhWjLmPf17mY8g4kly5HMiSn5A1x2lIB+7RVNuW0VskphLrfTwUrslB16aOg==;01.02.2019 09:45;Полихлорированные бифенилы
3d2d090a-0626-e911-a97e-000d3a22ca8c;6lo0izzQzkhZxmFCjSZgJP0gbA+/psvi0XrwYcBmgIzGU7qs6FEa+ACa+4laxL/U0AN3mgINRZQ204gcdQN+vA==;01.02.2019 09:45;Порошкообразные добавки в буровые растворы
3f2d090a-0626-e911-a97e-000d3a22ca8c;xT7WiOAXVOj52ScoNVOl8iVFDe2C2l/8zhA3rydps3wO8KxoozgZQ/lBSuzagRA48Ueegv6PCD111jU2x1DC0Q==;01.02.2019 09:45;Посменная работа
412d090a-0626-e911-a97e-000d3a22ca8c;ChOqxBlb9XDTRtD+RVWcZQAcanFB/2kZdXBEhCe6csOXJH3zJW8kvArLhjrTlrmNwIirqTDIaLrUtTbYZG+Xnw==;01.02.2019 09:45;Постоянный сильный шум >80дБА
432d090a-0626-e911-a97e-000d3a22ca8c;0adn7P9yFG3ZrzvdoH8OoC1EQ7eI9sqPdgSV9o8+4iKJr0hDbmBUIMzRmefQvLCU2Bq5xeC17rwWLcU72VGIHA==;01.02.2019 09:45;Посттравматический стресс
452d090a-0626-e911-a97e-000d3a22ca8c;EWk97zb5FruIy9nGPKr3zQWvGrExrvAbky5pjczx1xeOr6RMXkNh68VcFHaHzqT1dkii2w3EIbegpnzbaVXR6g==;01.02.2019 09:45;Природная ионизирующая радиация
472d090a-0626-e911-a97e-000d3a22ca8c;hLeG5HeU79VDsj8wcs9qrWjHcE11uD33vuBO6hNlTIFxKEFRAxNWOAG1o64ypUYTnOaSnPvzWHIDyhczdrFQmQ==;01.02.2019 09:45;Природный газ
492d090a-0626-e911-a97e-000d3a22ca8c;ZY4kJnR4oxl1QsSPzhNKod8SdxE7tqIcN/++iEtO/Ms+K3wkG2Hx0eOQ65UEXYicc6dXjyrKDwBpqIRYmPzm/A==;01.02.2019 09:45;Продолжительная и нерегулярная/посменная работа
4b2d090a-0626-e911-a97e-000d3a22ca8c;6aVTcGcCz8cYq7xMopQ//8ppW63N6M+88n3r0LBNss599r3rE+8QcbPNJwDDj7678MJLB1qWSaYwZx52EUJ0sw==;01.02.2019 09:45;Проживание на работе/вдали от семьи
4d2d090a-0626-e911-a97e-000d3a22ca8c;zYEBFHoXav6uPHXG/G+xa/FAd/CwSBOEuDSsxLnMbBSouvGCjJGNH4XnSWXAs/YfuCObBE/WwOVWa3o6Jup2mw==;01.02.2019 09:45;Прочее (метанол, ксилол)
4f2d090a-0626-e911-a97e-000d3a22ca8c;WbfvGUhWMNy3S5fYcZ/He4ioKySewXne7ZmoNJ4YILCORgTJk0haQbcFcG3pR1eDSRt3Xx5N5LMkkwRMWCl4/A==;01.02.2019 09:45;Прочие инфекционные заболевания
512d090a-0626-e911-a97e-000d3a22ca8c;V8TdvNLLi0EghOeT6ccXRaC4yXLFrgiZGCXxPMsQuuG2YR0oq/HU6acrcvvXZ8e9eerOIt7r2+ONkQviILC5Gw==;01.02.2019 09:45;Пыль известковая
532d090a-0626-e911-a97e-000d3a22ca8c;eI4QrAXP7byfU0I8nbgGya9sbWyzjl0Rx6DRdG4NsKS7VDcC/kIvasVrHJTYJIEDW1OCrTR7NtIP8jsvaKjJ/g==;01.02.2019 09:45;Пыль рудная
552d090a-0626-e911-a97e-000d3a22ca8c;oNkbUZyLR3UZ77rw8yxvZHcTKY+XFJapkwE2fS0YHllv3qpydB65yxaTXQApryGhUKjrJsPjg/UImkNJOusBDw==;01.02.2019 09:45;Пыль угольная
572d090a-0626-e911-a97e-000d3a22ca8c;JTS2t9yLjQTXo+kcPx6mJ3aVv4b1KYojxagym0mb+nyOaeulosolJmogXbqlqCKiDVL8rCB2tOvgwQhQZWeP7g==;01.02.2019 09:45;Работа на высоте более 1,3м
592d090a-0626-e911-a97e-000d3a22ca8c;edtjI/mItPJvJ+agkPsP8s4g8C22lfYKR4GeZBYxCG1uOWyu3DkAbsAlGwPJtUstkmWxZQBMxwegB8HeyOd4dA==;01.02.2019 09:45;Работа на высоте более 5м
5b2d090a-0626-e911-a97e-000d3a22ca8c;GtH9FDnXOGKdMIEMkcjGOlJTgUV10ejGtZhnWQAa8rxIl+TxKNfOmreUkqFZemHRR3TuYWLznlKFP4vLFzfMEw==;01.02.2019 09:45;Работа на уровне 
5d2d090a-0626-e911-a97e-000d3a22ca8c;2Au72Jj+BPcnzcr+ZPGahrfBaeTT4o152d5EJrqGSPszBWSUaDPOBpDsyBUkUd7+bpHyVkI6L8GqDxOpm5NsoQ==;01.02.2019 09:45;Работа над водой
5f2d090a-0626-e911-a97e-000d3a22ca8c;XBKxX18S+bLUirONekV5Aa45jNh8Vnk6+B/hukXQzH1vGDSYSEF+i7LyhgX0yjJK4DbGCKj73C1yfgBANTNJ9Q==;01.02.2019 09:45;Работа ниже поверхности земли
0986e9f6-3276-e911-a989-000d3a2bccc5;K4fO3xvRq/7+Y+8qoDZu0pzE/XltF6AWSieFn3VtJz63xTR5HUj++J2yXxrCCPH9rkSWyUlJojXIJKW5hftKxg==;14.05.2019 10:28;Работы на высоте от 0,5м до 1,3м
612d090a-0626-e911-a97e-000d3a22ca8c;m7Ncec8K2s5TAjBjjHyOZFG2Z1sQHG6VRSQWZivNDyItvoTzDxC3LdhMO6Q/2o8qOJU4EXyAryqYevBiw97Eag==;01.02.2019 09:45;Растворители/ краски, лаки
489afec2-2076-e911-a989-000d3a2bccc5;LtYehOZDaNxZvvAr2Ol8eJ0DFwbQDexopp89xMYpbzJ/VM9vaoIAKdeBqSMDPsozv5lR/8acSSNv7TVwOUnalQ==;14.05.2019 08:17;Рельсовый медленно движущийся транспорт
632d090a-0626-e911-a97e-000d3a22ca8c;FVk/14VuEKEhKRFizatLFIIqrAQMJo5upzPuPyoJGbU6krSvb56rM+67TzI6lZkMpAMkBYtVsGDp4Frm+ZcUxw==;01.02.2019 09:45;Ртуть 
652d090a-0626-e911-a97e-000d3a22ca8c;4oTBIGZnargdYVZ5agfAiIKBmF4/Zd0It5v8A/7rg3qpyXX4zyQWoPVHLtPAp19Pv8EoXdkSPQwKFcFo+P3npw==;01.02.2019 09:45;Саботаж, вредительство 
672d090a-0626-e911-a97e-000d3a22ca8c;g72dyqQv9ZzsF8Vfr8DkqPcTJ3wBJdhk8CqtDMKNDFZ5gGRfK3PFoB0UvISZtYlHIDEuOQnH+ueVufGshYq0xg==;01.02.2019 09:45;Сварочные/паяльные газы
692d090a-0626-e911-a97e-000d3a22ca8c;PVynU7S8UCiM1VvvbHjn8WRFestx1AsOgNA42bx5LEaHMMz4IWNyuM6m78bu73SI5tG+bQJXZSePwceKW19QQg==;01.02.2019 09:45;СВЧ-излучение
6b2d090a-0626-e911-a97e-000d3a22ca8c;P38GL2K9OWsXbaVh1u23tIGopMxDEXJqj7/HDB8/SwGI2D47UJKiJEYlODjsf82y6Tx+QTEP9HyO6EnaVLcOBw==;01.02.2019 09:45;Сдвиг грунта (обрушение) 
6d2d090a-0626-e911-a97e-000d3a22ca8c;aOsMLFBIxMLl4emcxLe1cN0pxDKzteKugbaXc7uFykcMyXzNJ7oNiuUNdogrc3RJVGIUc+gnBePCALH6Kx1PWw==;01.02.2019 09:45;Сдвиг пластов
6f2d090a-0626-e911-a97e-000d3a22ca8c;T5juktQGgkDo3hlKc0gs3G/aUpqDRg1gVSpKkDLn1zmWUpRf4S33lSsJCv9/2XnDlVVqIdR43/+71gwYL0ucyA==;01.02.2019 09:45;Сера/сернистая пыль
712d090a-0626-e911-a97e-000d3a22ca8c;nEcClc8iX8U/T7VH4KX+Yf9g/vzTuWxENPYKg0pLahn93WF/siOnYSF8moUc+HKDK7R5m2hEkBPAWCtCsCb3iQ==;01.02.2019 09:45;Серная кислота
732d090a-0626-e911-a97e-000d3a22ca8c;1fdR1HsYApuXeUVSgb4xyX2zhYyUj+QbvWPN9Yg79MpZd2re9QseAxsmaqiEBfm2rrbQsb0ui7Hlv9f7xg4OcQ==;01.02.2019 09:45;Сероводород (H2S)
752d090a-0626-e911-a97e-000d3a22ca8c;k62A+CvLYoNQZuKIDXBexth6OgXrEcg/agW5XmpvJ4okN6UWQI2U1nzO+pJvggW+zfMbt/Kk0RLECp0ouD0GUQ==;01.02.2019 09:45;Сжигание в факеле
772d090a-0626-e911-a97e-000d3a22ca8c;JFMxYAOwMjUu/7HvpO3J90sbLcUej2a/ULNi85WnHmT7ScpxmcMD/coHy9Z8JCsiuM7MSKWDolrMZd/seGzdBw==;01.02.2019 09:45;Сжиженные нефтяные газы (например, пропан)
792d090a-0626-e911-a97e-000d3a22ca8c;6JgxjIJchJ5KVsb0lTPqA2mIJ6uTsmBCkQmCrQS/MS2hJKMA41WA94Xd/nDD+qkFqq3Q/zGy80yMqV07o6kgmw==;01.02.2019 09:45;Сжиженные природные газы
7b2d090a-0626-e911-a97e-000d3a22ca8c;6xJytGJmT5OnckXO78g5Kg9wRfGb9VN82FC4opcR4IvUMIVS5HgF7mXYp5och+TuTVy90Amq+M8CAdi3WpL0fA==;01.02.2019 09:45;Синтетическое минеральное волокно
7d2d090a-0626-e911-a97e-000d3a22ca8c;EWXh4Z2nJSEOT2C+6Vj60+gicSQ6I7HT1QV2JSTZuMaZ3j3iA4wSFtIGTjJ6/UrI6qW35oDkoRf773WUwTIoZA==;01.02.2019 09:45;Солевые растворы
7f2d090a-0626-e911-a97e-000d3a22ca8c;YXgIRfde0inTOx+eHdr3qj7P1x7sy4H+/H4QDdqvn0+fuvz0+TjevMPhZqypwEo825sLScYb8ROweD9NEUYJdw==;01.02.2019 09:45;Соли натрия
3424e8e9-1f76-e911-a989-000d3a2bccc5;kfGxoWjZB+1iTjvV9d15spZtdX3g+aa+PZvTguyAVQj1JM9T/lEv+2BP0FHTfWZMbN2BPo5vnr3+grRNBnwa/g==;14.05.2019 08:11;Состояние здания (крыша, стены и/или пр.)
2d470d44-2076-e911-a989-000d3a2bccc5;/i0xNc1UjcXeoO4F50oxpP2bT4DGqoI2rrMlTXz4NAEXrHm22lZDRdOGOwY9NnqCWo94cY/HdoDF07EkQJMZBg==;14.05.2019 08:14;Состояние сооружений (коррозия, трещины и/или пр.)
812d090a-0626-e911-a97e-000d3a22ca8c;OsEb+7VTTDTGrPYjV/qm5EkF8PxZWm0sMfURoQnrZ7Fn3gAq5waNNy109uGs18rhieJtulKUljvCmeCcJEZBaA==;01.02.2019 09:45;Сосуды, работающие под давлением 
832d090a-0626-e911-a97e-000d3a22ca8c;aEnsyE+AieVkhApLA1LjLNVnxRwBHIQyV3nzC4ND0qsnOyfQNIKn27UdzA1LTeaOJ+lK4MkU2VkvF+nH89btuQ==;01.02.2019 09:45;Спиртные напитки
852d090a-0626-e911-a97e-000d3a22ca8c;cim5m+Tw2z+x80aY0YQHG0/DDs18skvu1qXUBn+fUSg+kIAbzK3MUpWKZn9mP2wDINH/Ldt/KRu1XN/Glxdljw==;01.02.2019 09:45;Столбняк 
872d090a-0626-e911-a97e-000d3a22ca8c;mflEQRS+kno3MYMK8ZVkroHzWAMZK2LzsQNutrVem9ASpNTiqfTb4S4RzjDLiKasOX+JmMm0LkmzbHw/l4f4pg==;01.02.2019 09:45;Стресс от холода (низкая температура окружающей среды)
892d090a-0626-e911-a97e-000d3a22ca8c;gxYEySloE+oKFoAe49QhT5jhfZRDJSmdkJxwCmbSlVhBLxtp/AKT6mMrzKgmHiQm2MoCJ0Z7MjVxRyd6IyN4/A==;01.02.2019 09:45;Табачный дым
8b2d090a-0626-e911-a97e-000d3a22ca8c;zqlk/fQOmhbQREgOESsjspUJFntj6qJq3WU3pXbkFaNw23YvIiXqxkeKtDbh914FPSxrkzc5T/XDbDv6aIwwtQ==;01.02.2019 09:45;Тепловой стресс (высокая температура окружающей среды)
8d2d090a-0626-e911-a97e-000d3a22ca8c;tPA7EgD4oS+I/bxU0DvYKfjVAyScTk8BAGflA2aVdZUDcxPrqOHD5MY8L6ddR0paxtS9zKJ4igJbyTBXXFVgsQ==;01.02.2019 09:45;Тетрахлорид углерода
8f2d090a-0626-e911-a97e-000d3a22ca8c;kOhzvtQL3COkEmt+wFBQj37xH2Xh+sI0QC+oWBNLfETRs560PFYrwU4GRVITXYMCe085HGNhXiPfO9JTvIQQsQ==;01.02.2019 09:45;Токсичный газ
912d090a-0626-e911-a97e-000d3a22ca8c;mrbULG1vPorIE9rjhz3QZ03hmXMuSEwgtms/pZk7WWmtaWzM/b57S/8w2aJQVePq42o8K3nZyNzNrrc+py3JJQ==;01.02.2019 09:45;Трубопроводы и оборудование от +60 до +150°C
932d090a-0626-e911-a97e-000d3a22ca8c;BF+jYVo2Z7YWGeUyACA3P/GuJIIMMLE2FhLd214O61I9ZHcnEN7426ofYkhJpAq4/58FK+MF3r3RthU9sTKPaQ==;01.02.2019 09:45;Трубопроводы и оборудование свыше +150°C
952d090a-0626-e911-a97e-000d3a22ca8c;RJVS/2ndWVpbTHZKwT5ST2pFt6t8mRcuongmNRI3N3FqHjkVtOTLBYkWalNmRPxSFJLpIOzG5NdGgOqpTrpuAQ==;01.02.2019 09:45;Тяжёлые металлы
972d090a-0626-e911-a97e-000d3a22ca8c;Myk+BKg1W77Z4kgOOp8MfRFMbAW0ryFkZJ1iprfowBfBHeVIYVxY+DUl/xNYERecZSnWpCkercNWUAJ1pbtycQ==;01.02.2019 09:45;Угарный газ
992d090a-0626-e911-a97e-000d3a22ca8c;0hmkgWONhdmozUDK8BlkZGMz3v4wwYLPl0BrjCWpe2LCDXimjGudoITGGXMSNCgLvjtrsLq80E1e0RDKvC1OkQ==;01.02.2019 09:45;Уголь
9b2d090a-0626-e911-a97e-000d3a22ca8c;PUeX0RebNybMhMj0yfLzsGMCraFJPlA+cOpTWbjbgvSBeLckRGIKbN0IlRre8AYNOIV/Q1zXKhUVXmLhumZczw==;01.02.2019 09:45;Удар молнии
9d2d090a-0626-e911-a97e-000d3a22ca8c;ZXa2vmM7hpLuqItcbMxriJpfcG+bE0sBxbmOU6LLpC1Zez0antfc1kovGtgovJzrtHU4GTWUdmKvaW/pt4V3GQ==;01.02.2019 09:45;Ультрафиолетовое излучение
9f2d090a-0626-e911-a97e-000d3a22ca8c;wfQjk4CdVWQXa60Eduo6sQAdbpIR+uLcSpfNeazFqxGdjNIPaQPqG+V0037jffhD3jQ47tI8uf3RBf2xseblqA==;01.02.2019 09:45;Утомление 
a12d090a-0626-e911-a97e-000d3a22ca8c;56vejPbY6eFW7mlFQdubx7igZJ6d1jUCimvGsveYyh+Lxrpbe/UQnx/rQC/roAPGQJ1hpsiZxMDBio0YJ5g9Eg==;01.02.2019 09:45;Фенолы
a32d090a-0626-e911-a97e-000d3a22ca8c;4o6pwjogr6rhlB6GEowH2TB/x7hBBxvjOcRIQAFKY6RzyPkRdqOWizVWUBfNlFn4Z9VKVz3PVlaftd/Fezdofg==;01.02.2019 09:45;Фтористоводородная кислота
a52d090a-0626-e911-a97e-000d3a22ca8c;vPEBeGon2XjbaZhtGhD7Fh7exl/kXd0yvjg70az9L5W6ZjZYI2obQLg4L+QXLa9YEUpBTxWM/CYF/63eim+C9g==;01.02.2019 09:45;Хладагенты
a72d090a-0626-e911-a97e-000d3a22ca8c;3rhykLfwag3vkNYuU5xg4lpFfQi6YU2tZhmz+U3H/V2dFlvhOr+D2NUQ/mJYKhoTZ4rLMAd0M3GhDKJPf1XkrA==;01.02.2019 09:45;Хладон 
a92d090a-0626-e911-a97e-000d3a22ca8c;/4MnIzzSS4+Qh/ETu2ay6Wm03+q6Ic8dxhY0Jy8FeafHI3tv/Ffff/gboOZYiOdRKajTv4f/yrcJL6Z8plhZPg==;01.02.2019 09:45;Хлор 
ab2d090a-0626-e911-a97e-000d3a22ca8c;UU3RDfkYewJd/H/a8cIcnhYIY/KGk2Klu9e0KB0gh/hkxnpF/1/2FMu9323EcupqjLUKOfiYRPCkO2oJ+aI/hA==;01.02.2019 09:45;Хлористоводородная кислота
ad2d090a-0626-e911-a97e-000d3a22ca8c;4pymrcrujRSrwr2MiXgouf3wt4tX3BTTNCjKG7yZscgbLCibiu3tPAfF5RShmqTEy3Mjz0uLVKugJ4guTFLtaA==;01.02.2019 09:45;Хлорфторуглероды 
af2d090a-0626-e911-a97e-000d3a22ca8c;TIKW4y3f7yjb/80uQtaaRwK7h90+i3Hsgc3xZ4BRwayd+0eBrnikmbkFonyF7LyOSplxr/ItN/XlVduEb+2Frg==;01.02.2019 09:45;Цементная пыль
b12d090a-0626-e911-a97e-000d3a22ca8c;t9E2BmdAZd2q1k7/zLCesTu+51Cbee54LlPLv5uMN2774Gxhb9s6bdDVPx5yVjDgGrMNBP2l6s+qBCsO/ieWww==;01.02.2019 09:45;Шламы аспирационных установок
b32d090a-0626-e911-a97e-000d3a22ca8c;VhK3EXee72xlgpGF5Cww9UmpNSQU9+Tk33AoANs64eGujwdcuKA5cS2OSzPYYL62/TMYmRGfEa341K4l+UZM4w==;01.02.2019 09:45;Шламы технологических процессов
afb8c97b-3376-e911-a989-000d3a2bccc5;mMxtGWG9XeWC1xXGUhQZPdUZfqlbydEvfQC+tPbYx7R7C6F5/kFxwOBQX4laffgv0Y0gOLYWfHN6to0sa79MZQ==;14.05.2019 10:31;Эксплуатация оборудования в неисправном состоянии
b52d090a-0626-e911-a97e-000d3a22ca8c;Pv8iAridHFh9SaQUfP30aooJA+n+K22aCHGOmPJt5Xgma//M20XSgX9B7qKrGN3rd7djpfU8j3I4v8KfybJm3Q==;01.02.2019 09:45;Электрическая дуга
b72d090a-0626-e911-a97e-000d3a22ca8c;UQ52d80DZDseh/x7bq0OTDXl/SnCG5cdjnkAP7LaF4NWmR9xKij0WDgL7tyBM4zQHQyZt1cWGR57flwyj8be+A==;01.02.2019 09:45;Электрическое напряжение более 220В
b92d090a-0626-e911-a97e-000d3a22ca8c;Rw5xapl/0kAs0a3ml1MDJ17J8Wzo9t7+5nn3ECTdd3Xp/CGayn9G8cS/HrEuax7go/8bKsgRBY5llUZnVOI9Nw==;01.02.2019 09:45;Электрическое напряжение более 40-220В в кабеле
bb2d090a-0626-e911-a97e-000d3a22ca8c;y7RdtUUkOM1sOxlWkyvJpG19GjTslYOKbKlxKY8OFqL/lxX1hFTtGt1ZPoaXPjRTnJLUBvGPX12BicdzLU/biQ==;01.02.2019 09:45;Электрическое напряжение более 40-220В на оборудовании
bd2d090a-0626-e911-a97e-000d3a22ca8c;cm6bDB9nAjpxcmHOCGDDF5hwO17sIe74j3W6z90LPWmOyB8lySv6MUuJ33Nvmxoi0clQGf1i0RDaPYZqKLpLEQ==;01.02.2019 09:45;Электромагнитное излучение высоковольтного оборудования переменного тока.
bf2d090a-0626-e911-a97e-000d3a22ca8c;RdMMGKyBcGjgwHNWDitVYsRfG4krB7K80MH6/hlj19qB7Nr0dzW4ociysOFRLLpROOF20dAr+d9j4ujwAcUMFw==;01.02.2019 09:45;Электромагнитное излучение высоковольтных кабелей переменного тока. 
c12d090a-0626-e911-a97e-000d3a22ca8c;3IOkBt6PZvk6CwUpnyfBrhFoQrmPdD7161oiJP/Ohca1C5kL7kGeTQJguPyofxf02ttlhbA36QwBwjaReAZwIQ==;01.02.2019 09:45;Электростатическая энергия
c32d090a-0626-e911-a97e-000d3a22ca8c;sffsUpws6K3ahJtFlDEmEG52TeSfauCMKEaF8bHrogvn4y4qrnwRobgjdSisfPLNXs24/l5abjjGrm8iCbBGtg==;01.02.2019 09:45;Ядовитые растения
